facility_id,cycle_index,cycle_start,cycle_end,total_injected_kg,total_withdrawn_kg,total_losses_kg,avg_pressure_mpa,avg_temperature_c,cycle_efficiency
UHS-001,1,2030-01-06,2030-01-27,245697578.9134015,291706961.0846279,16957557.200428285,20.797038616175676,81.97603317981219,1.0
UHS-001,2,2030-02-03,2030-02-24,375767080.86479336,200639133.30557182,22847727.092006166,22.622435854598088,81.97603317981219,0.5033408927631118
UHS-001,3,2030-03-03,2030-03-24,271741729.385309,461797737.2013004,19313051.48711292,19.96770509650922,81.97603317981219,1.0
UHS-001,4,2030-03-31,2030-04-21,550925706.054462,314909046.08507144,9447127.340055479,21.251751009971848,81.97603317981219,0.5619634416919834
UHS-001,5,2030-04-28,2030-05-19,163744104.88514164,269198896.776519,26216704.8506622,20.39311244450208,81.97603317981219,1.0
UHS-001,6,2030-05-26,2030-06-16,281991919.1947227,483032763.10894024,13378027.414195688,16.82754934342045,81.97603317981219,1.0
UHS-001,7,2030-06-23,2030-07-14,413395642.9669292,275278681.1999242,9791001.501901915,17.258417002156275,81.97603317981219,0.6504900019835083
UHS-001,8,2030-07-21,2030-08-11,451400958.0894104,439153714.4895354,21892231.05136302,19.78727938900561,81.97603317981219,0.9278682317123228
UHS-001,9,2030-08-18,2030-09-08,478591609.2847289,553853770.9504086,12263325.164007343,16.152752933113305,81.97603317981219,1.0
UHS-001,10,2030-09-15,2030-10-06,374852427.4506445,385325933.8918338,7465029.026872126,14.924926813170085,81.97603317981219,1.0
UHS-001,11,2030-10-13,2030-11-03,378470975.3131528,306151001.1767864,18391835.594390504,18.996578069936447,81.97603317981219,0.7714277900634788
UHS-001,12,2030-11-10,2030-12-01,329313688.82232535,152813350.0689497,26499675.06412501,19.26671263100375,81.97603317981219,0.4294761399622881
UHS-001,13,2030-12-08,2030-12-29,348511385.81086445,512649931.7670618,16962409.780855265,17.597552056053605,81.97603317981219,1.0
UHS-001,14,2031-01-05,2031-01-26,379848947.6784705,358575946.04935575,11384914.606416345,17.55968838023302,81.97603317981219,0.9165258445554736
UHS-001,15,2031-02-02,2031-02-23,229630108.65895677,312077886.41542816,7725101.640891448,15.679899249866901,81.97603317981219,1.0
UHS-001,16,2031-03-02,2031-03-23,393663448.2939844,491472695.8167182,9163289.807349525,14.249099173179506,81.97603317981219,1.0
UHS-001,17,2031-03-30,2031-04-20,247703793.9960063,251287559.5001202,2374435.264390123,12.018965213835097,81.97603317981219,1.0
UHS-001,18,2031-04-27,2031-05-18,366025595.69735694,372943146.94442797,2151483.8887039395,12.104561866346593,81.97603317981219,1.0
UHS-001,19,2031-05-25,2031-06-15,294041470.1168422,250704510.6334112,4040400.2533960487,12.81634139686323,81.97603317981219,0.8410592375914003
UHS-001,20,2031-06-22,2031-07-13,503703208.6727679,271905706.9363249,10684254.694049597,16.31648153847909,81.97603317981219,0.5286009599779551
UHS-001,21,2031-07-20,2031-08-10,245536061.5567694,298581076.2413081,13850420.912789466,17.854377536845135,81.97603317981219,1.0
UHS-001,22,2031-08-17,2031-09-07,382787446.94078034,271059857.9882601,15228791.033365816,16.807138921418417,81.97603317981219,0.6810271343900981
UHS-001,23,2031-09-14,2031-10-05,291332677.69655347,296604000.92978275,10235026.812322933,17.654361221179727,81.97603317981219,0.983540334376397
UHS-001,24,2031-10-12,2031-11-02,343182727.09640855,291064684.8076209,20995800.38416361,19.340152993878732,81.97603317981219,0.7992362614601113
UHS-001,25,2031-11-09,2031-11-30,387739007.46976185,457459303.4602706,10286835.282526953,16.223342620070664,81.97603317981219,1.0
UHS-001,26,2031-12-07,2031-12-28,357505112.46818066,267115722.98913434,20939025.951538384,19.81933497480281,81.97603317981219,0.7058260278638158
